日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
110/09/01,"31,242,788","19,126,702,297",614,614,608,613,-1,"30,125"
110/09/02,"26,715,492","16,341,803,689",613,615,607,607,-6,"26,153"
110/09/03,"53,915,006","33,278,648,609",610,620,610,620,13,"62,288"
110/09/06,"59,223,061","37,250,623,087",623,638,621,631,11,"77,024"
110/09/07,"27,422,775","17,191,259,166",634,634,623,623,-8,"29,823"
110/09/08,"38,713,621","23,960,375,113",622,627,612,619,-4,"38,267"
110/09/09,"19,309,522","11,886,107,760",612,620,610,619,0,"19,569"
110/09/10,"16,740,439","10,365,721,937",615,623,614,622,3,"17,067"
110/09/13,"15,809,768","9,734,528,161",619,620,613,615,-7,"21,779"
110/09/14,"16,024,935","9,849,961,184",618,618,612,613,-2,"13,569"
110/09/15,"26,041,452","15,872,971,715",610,613,607,607,-6,"24,839"
110/09/16,"23,315,040","14,030,697,248",603,607,599,600,X0.00,"31,437"
110/09/17,"42,383,815","25,510,152,115",600,610,599,600,0,"18,681"
110/09/22,"42,732,169","25,056,693,727",586,589,583,586,-14,"70,389"
110/09/23,"22,736,266","13,406,035,166",588,593,588,588,2,"22,991"
110/09/24,"17,302,848","10,289,114,839",591,598,590,598,10,"15,796"
110/09/27,"20,034,221","11,993,300,562",600,602,593,602,4,"16,349"
110/09/28,"17,325,896","10,291,543,822",595,596,592,594,-8,"16,496"
110/09/29,"51,834,124","30,040,354,500",580,583,577,580,-14,"95,024"
110/09/30,"36,318,623","21,054,651,328",580,585,575,580,0,"32,973"